practice_id,role_id,r_a,
"""BAI03.10""",23,R,"""""BAI03.10"""""
"""BAI03.10""",24,,"""""BAI03.10"""""
"""BAI03.10""",25,,"""""BAI03.10"""""
"""BAI03.10""",26,,"""""BAI03.10"""""
"""BAI03.10""",27,,"""""BAI03.10"""""
"""BAI03.10""",28,,"""""BAI03.10"""""
"""BAI03.10""",29,,"""""BAI03.10"""""
"""BAI03.10""",30,,"""""BAI03.10"""""
"""BAI03.10""",31,,"""""BAI03.10"""""
"""BAI03.10""",32,,"""""BAI03.10"""""
"""BAI03.10""",33,,"""""BAI03.10"""""
"""BAI03.11""",1,,"""""BAI03.11"""""
"""BAI03.11""",2,,"""""BAI03.11"""""
"""BAI03.11""",3,,"""""BAI03.11"""""
"""BAI03.11""",4,,"""""BAI03.11"""""
"""BAI03.11""",5,,"""""BAI03.11"""""
"""BAI03.11""",6,A,"""""BAI03.11"""""
"""BAI03.11""",7,,"""""BAI03.11"""""
"""BAI03.11""",8,,"""""BAI03.11"""""
"""BAI03.11""",9,,"""""BAI03.11"""""
"""BAI03.11""",10,,"""""BAI03.11"""""
"""BAI03.11""",11,,"""""BAI03.11"""""
"""BAI03.11""",12,,"""""BAI03.11"""""
"""BAI03.11""",13,,"""""BAI03.11"""""
"""BAI03.11""",14,,"""""BAI03.11"""""
"""BAI03.11""",15,,"""""BAI03.11"""""
"""BAI03.11""",16,,"""""BAI03.11"""""
"""BAI03.11""",17,,"""""BAI03.11"""""
"""BAI03.11""",18,,"""""BAI03.11"""""
"""BAI03.11""",19,,"""""BAI03.11"""""
"""BAI03.11""",20,,"""""BAI03.11"""""
"""BAI03.11""",21,,"""""BAI03.11"""""
"""BAI03.11""",22,,"""""BAI03.11"""""
"""BAI03.11""",23,,"""""BAI03.11"""""
"""BAI03.11""",24,,"""""BAI03.11"""""
"""BAI03.11""",25,,"""""BAI03.11"""""
"""BAI03.11""",26,,"""""BAI03.11"""""
"""BAI03.11""",27,,"""""BAI03.11"""""
"""BAI03.11""",28,,"""""BAI03.11"""""
"""BAI03.11""",29,,"""""BAI03.11"""""
"""BAI03.11""",30,,"""""BAI03.11"""""
"""BAI03.11""",31,,"""""BAI03.11"""""
"""BAI03.11""",32,,"""""BAI03.11"""""
"""BAI03.11""",33,,"""""BAI03.11"""""
"""BAI03.12""",1,,"""""BAI03.12"""""
"""BAI03.12""",2,,"""""BAI03.12"""""
"""BAI03.12""",3,,"""""BAI03.12"""""
"""BAI03.12""",4,,"""""BAI03.12"""""
"""BAI03.12""",5,,"""""BAI03.12"""""
"""BAI03.12""",6,A,"""""BAI03.12"""""
"""BAI03.12""",7,,"""""BAI03.12"""""
"""BAI03.12""",8,R,"""""BAI03.12"""""
"""BAI03.12""",9,,"""""BAI03.12"""""
"""BAI03.12""",10,,"""""BAI03.12"""""
"""BAI03.12""",11,,"""""BAI03.12"""""
"""BAI03.12""",12,,"""""BAI03.12"""""
"""BAI03.12""",13,,"""""BAI03.12"""""
"""BAI03.12""",14,,"""""BAI03.12"""""
"""BAI03.12""",15,,"""""BAI03.12"""""
"""BAI03.12""",16,R,"""""BAI03.12"""""
"""BAI03.12""",17,R,"""""BAI03.12"""""
"""BAI03.12""",18,,"""""BAI03.12"""""
"""BAI03.12""",19,,"""""BAI03.12"""""
"""BAI03.12""",20,,"""""BAI03.12"""""
"""BAI03.12""",21,,"""""BAI03.12"""""
"""BAI03.12""",22,,"""""BAI03.12"""""
"""BAI03.12""",23,,"""""BAI03.12"""""
"""BAI03.12""",24,,"""""BAI03.12"""""
"""BAI03.12""",25,,"""""BAI03.12"""""
"""BAI03.12""",26,,"""""BAI03.12"""""
"""BAI03.12""",27,,"""""BAI03.12"""""
"""BAI03.12""",28,,"""""BAI03.12"""""
"""BAI03.12""",29,,"""""BAI03.12"""""
"""BAI03.12""",30,R,"""""BAI03.12"""""
"""BAI03.12""",31,,"""""BAI03.12"""""
"""BAI03.12""",32,,"""""BAI03.12"""""
"""BAI03.12""",33,,"""""BAI03.12"""""
"""BAI11.01""",1,,"""""BAI11.01"""""
"""BAI11.01""",2,,"""""BAI11.01"""""
"""BAI11.01""",3,A,"""""BAI11.01"""""
